"Article ID",Title,Author,"Publication Year",Abstract,Source,Link,Keywords,"Review Question",1.1,2.1,3.1,3.2,4.1,4.2,4.3,5.1,5.2,6.1,6.2,6.3,7.1,7.2,7.3,8.1,"Review Type"
127489,"Impacts of climate change on tropical agroforestry systems: A systematic review for identifying future research priorities","Watts, M; Hutton, C; Guel, EOM; Suckall, N; Peh, KSH",2022,"Climate change is expected to adversely affect the crop yields and food security for many smallholder farmers in the tropics unless adaptive measures are implemented. Agroforestry ecosystem services, such as micro-climate buffering, have received growing attention from the academic and policy communities for alleviating the negative impacts of climate change on smallholders. These benefits imply that agroforestry could offer a suitable measure for adaptation to climate change. However, whether agroforestry systems themselves succumb to the adverse effects of climate change is often less studied in the agroforestry literature. Consequently, less is known about how climate change will impact agroforests. We conducted a systematic review, which included an evidence quality assessment, to examine the impacts of climate change on tropical agroforestry systems (TAFS). Based primarily on studies undertaking biophysical approaches, we found that climate change negatively impacts TAFS by reducing tree growth, intensifying tree-crop resource competition and reducing crop yields. However, the impacts on smallholder farmers are less clear due to limited evidence in the relevant literature. We found that the evidence supporting our findings is mostly 'robust ', although 'least robust ' strength evidence was also commonly found. We conclude that to improve understanding of how climate change could affect the performance of TAFS as a social ecological system, more interdisciplinary studies are required. Furthermore, to improve the quality of evidence in the research field, studies should explore using mountain elevation gradients for climate analog analysis to perform the most robust study designs. We provide an interdisciplinary conceptual model, which considers the interactions and feedbacks between TAFS components noted from our review to predict the response of ecosystem services provisioning and farmers' wellbeing to climate change, to guide interdisciplinary studies using climate analog analysis.","FRONTIERS IN FORESTS AND GLOBAL CHANGE","<a href='https://dx.doi.org/10.3389/ffgc.2022.880621' target='_blank'>10.3389/ffgc.2022.880621</a>",,"What are the impacts of climate change on trees, soil, crops and livelihoods in tropical agroforestry ecosystems?",2,1,3,2,2,1,2,1,1,2,3,1,2,1,2,3,"Evidence Review"
127478,"Responses of soil greenhouse gas emissions to land use conversion and reversion-A global meta-analysis","Feng, ZH; Wang, LQ; Wan, XM; Yang, J; Peng, Q; Liang, T; Wang, YZ; Zhong, BQ; Rinklebe, J",2022,"Exploring the responses of greenhouse gas (GHG) emissions to land use conversion or reversion is significant for taking effective land use measures to alleviate global warming. A global meta-analysis was conducted to analyze the responses of carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) emissions to land use conversion or reversion, and determine their temporal evolution, driving factors, and potential mechanisms. Our results showed that CH4 and N2O responded positively to land use conversion while CO2 responded negatively to the changes from natural herb and secondary forest to plantation. By comparison, CH4 responded negatively to land use reversion and N2O also showed negative response to the reversion from agricultural land to forest. The conversion of land use weakened the function of natural forest and grassland as CH4 sink and the artificial nitrogen (N) addition for plantation increased N source for N2O release from soil, while the reversion of land use could alleviate them to some degree. Besides, soil carbon would impact CO2 emission for a long time after land use conversion, and secondary forest reached the CH4 uptake level similar to that of primary forest after over 40 years. N2O responses had negative relationships with time interval under the conversions from forest to plantation, secondary forest, and pasture. In addition, meta-regression indicated that CH4 had correlations with several environmental variables, and carbon-nitrogen ratio had contrary relationships with N2O emission responses to land use conversion and reversion. And the importance of driving factors displayed that CO2, CH4, and N2O response to land use conversion and reversion was easily affected by NH4+ and soil moisture, mean annual temperature and NO3-, total nitrogen and mean annual temperature, respectively. This study would provide enlightenments for scientific land management and reduction of GHG emissions.","GLOBAL CHANGE BIOLOGY","<a href='https://dx.doi.org/10.1111/gcb.16370' target='_blank'>10.1111/gcb.16370</a>",,"What are the effects of land use conversion on soil greenhouse gas flux?",3,1,3,2,2,1,1,1,1,1,1,1,3,2,2,1,"Evidence Review"
127479,"Full adoption of the most effective strategies to mitigate methane emissions by ruminants can help meet the 1.5 degrees C target by 2030 but not 2050","Arndt, C; Hristov, AN; Price, WJ; McClelland, SC; Pelaez, AM; Cueva, SF; Oh, J; Dijkstra, J; Bannink, A; Bayat, AR; Crompton, LA; Eugene, MA; Enahoro, D; Kebreab, E; Kreuzer, M; McGee, M; Martin, C; Newbold, CJ; Reynolds, CK; Schwarm, A; Shingfield, KJ; Veneman, JB; Yanez-Ruiz, DR; Yu, ZT",2022,"To meet the 1.5 degrees C target, methane (CH4) from ruminants must be reduced by 11 to 30% by 2030 and 24 to 47% by 2050 compared to 2010 levels. A meta-analysis identified strategies to decrease product-based (PB; CH4 per unit meat or milk) and absolute (ABS) enteric CH4 emissions while maintaining or increasing animal productivity (AP; weight gain or milk yield). Next, the potential of different adoption rates of one PB or one ABS strategy to contribute to the 1.5 degrees C target was estimated. The database included findings from 430 peer-reviewed studies, which reported 98 mitigation strategies that can be classified into three categories: animal and feed management, diet formulation, and rumen manipulation. A random-effects meta-analysis weighted by inverse variance was carried out. Three PB strategies-namely, increasing feeding level, decreasing grass maturity, and decreasing dietary forage-to-concentrate ratio-decreased CH4 per unit meat or milk by on average 12% and increased AP by a median of 17%. Five ABS strategies-namely CH4 inhibitors, tanniferous forages, electron sinks, oils and fats, and oilseeds-decreased daily methane by on average 21%. Globally, only 100% adoption of the most effective PB and ABS strategies can meet the 1.5 degrees C target by 2030 but not 2050, because mitigation effects are offset by projected increases in CH 4 due to increasing milk and meat demand. Notably, by 2030 and 2050, low- and middle-income countries may not meet their contribution to the 1.5 degrees C target for this same reason, whereas high-income countries could meet their contributions due to only a minor projected increase in enteric CH4 emissions.","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","<a href='https://dx.doi.org/10.1073/pnas.2111294119' target='_blank'>10.1073/pnas.2111294119</a>",,"What are the relative effects of different management strategies on methane emissions from global ruminant agriculture systems?",3,1,2,2,2,1,1,1,1,2,2,1,3,2,2,2,"Evidence Review"
127480,"The response of ecosystem carbon and nitrogen pools to experimental warming in grasslands: a meta-analysis","Zou, JL; Wu, JY; Osborne, B; Luo, YQ",2022,"Carbon (C) and nitrogen (N) coupling processes in terrestrial ecosystems have the potential to modify the sensitivity of the global C cycle to climate change. But the degree to which C-N interactions contribute to the sequestration of terrestrial ecosystem C (C-seq), both now and in the future, remains uncertain. In this study, we used a meta-analysis to quantitatively synthesize C and N responses from field experiments on grasslands subjected to simulated warming and assessed the relative importance of three properties (changes in ecosystem N amount, redistribution of N among soil, litter and vegetation, and modifications in the C:N ratio) associated with grassland C-seq in response to warming. Warming increased soil, litter and vegetation C:N ratios and approximately 2% of N shifted from the soil to vegetation and litter. Warming-induced grassland C-seq was the result of the net balance between increases in vegetation and litter C (111.2 g m(-2)) and decreases in soil C (30.0 g m(-2)). Warming-induced accumulation of C stocks in grassland ecosystems indicated that the three processes examined were the main contributors to C-seq, with the changes in C:N ratios in soil, litter and vegetation as the major contributors, followed by N redistribution, whilst a decrease in total N had a negative effect on C-seq. These results indicate that elevated temperatures have a significant influence on grassland C and N stocks and their coupling processes, suggesting that ecological models need to include C-N interactions for more accurate predictions of future terrestrial C storage.","JOURNAL OF PLANT ECOLOGY","<a href='https://dx.doi.org/10.1093/jpe/rtac020' target='_blank'>10.1093/jpe/rtac020</a>",,"What are the impacts of experimental warming on carbon and nitrogen stocks in grasslands?",3,1,2,2,2,1,1,1,1,2,1,1,3,2,2,1,"Evidence Review"
127445,"The response of soil-atmosphere greenhouse gas exchange to changing plant litter inputs in terrestrial forest ecosystems","Cui, J.; Lam, S.K.; Xu, S.; Lai, D.Y.F.",2022,"Various global change factors (e.g. elevated CO2 concentrations, nitrogen deposition, etc.) can alter the amount of litterfall in terrestrial forests, which could subsequently lead to changes in the physical, chemical, and biological properties of forest soils. Yet, there is hitherto a lack of consensus on the role of litter in governing the soil-atmosphere exchange of greenhouse gases (GHGs) in forest ecosystems, which can significantly affect the overall climatic cooling impacts of forests as a net carbon sink. In this study, we carried out a meta-analysis of over 250 field observations to determine the response of soil GHG fluxes to in situ litter manipulation in global forests. Our results showed that overall, litter addition enhanced soil CO2 emissions from terrestrial forests by 26%, while litter removal reduced soil CO2 emissions from these forests by 26%. The negative response of soil CO2 emissions to litter removal was stronger in the tropical forests (−33%) than in the subtropical (−27%) and temperate (−21%) forests, and was significantly correlated with mean annual temperature and precipitation. Moreover, litter removal was observed to enhance soil CH4 uptake in tropical (+24%) and temperate (+9%) forests, but not in subtropical forests. Litter removal reduced N2O emissions from forest soils by 20% on average, with this negative effect increasing with mean annual precipitation. The duration of litter removal experiment was negatively correlated with the response of soil CO2 emissions but had no influence on the response of soil CH4 and N2O fluxes. We found that plant litter supply could alter soil GHG fluxes in forests by modulating the microclimate as well as the labile and recalcitrant soil carbon pools. Our findings highlighted the importance of considering the effects of changing plant litter inputs on soil-atmosphere GHG fluxes in terrestrial forests and their spatio-temporal variability in biogeochemical models. © 2022 Elsevier B.V.","Science of the Total Environment","<a href='https://dx.doi.org/10.1016/j.scitotenv.2022.155995' target='_blank'>10.1016/j.scitotenv.2022.155995</a>",,"What is the effect of litter manipulation on the flux of greenhouse gases in forest soils?",3,1,2,2,2,1,1,1,1,3,3,1,3,2,2,2,"Evidence Review"
127450,"Impacts of crop type, management and soil quality indicators on background nitrous oxide emissions (BNE) from Chinese croplands: a quantitative review and analysis","Abdalla, M; Shang, ZY; Espenberg, M; Cui, XQ; Mander, U; Smith, P",2022,"N2O emissions (BNE) represents emissions from unfertilised soils during the current growing season or year and these contribute to total N2O emissions. In this quantitative review and analysis, we collected 146 papers reporting BNE from 378 arable crop sites across China. The main aims were to estimate the BNE from Chinese cropland soils and to assess impacts of crop type, management and soil quality indicators on BNE. Data on sites, crops, management and soil quality indicators were collected. The data were segregated into cereal crops, rice and vegetables, and yield- and area-scaled BNE were calculated. The daily and annual BNE values (mean +/- standard deviation) for cereals, rice and vegetables are 1.32 +/- 1.16, 3.64 +/- 3.84 and 10.68 +/- 16.22 g N2O-N ha(-1) and 0.98 +/- 0.83, 1.11 +/- 0.49 and 2.86 +/- 2.33 kg N-N2O ha(-1), respectively. Crop types have significant impacts (p < 0.05) on the BNE values from soils. The overall mean annual BNE for China, considering the proportion of planting area for each crop type, is 0.69 +/- 1.52 kg N-N2O ha(-1). The total national mean annual BNE for China is 146 +/- 109 Gg N2O-N. The BNE from different crop types is variably controlled by interactions of many factors but primarily by soil quality indicators (i.e. pH, soil N, soil C), climate and management. To reduce uncertainty in the total N2O emissions from Chinese croplands, we suggest estimating the BNE at a national level, rather than using the default value of the Intergovernmental Panel on Climate Change (IPCC) of 1 kg N2O-N ha(-1).","ENVIRONMENTAL SCIENCE-ATMOSPHERES","<a href='https://dx.doi.org/10.1039/d2ea00033d' target='_blank'>10.1039/d2ea00033d</a>","N2O EMISSIONS; FERTILIZER; SYSTEMS; NITRATE; MINERALIZATION; TEMPERATURE; MOISTURE; CLIMATE; CARBON; GASES","What is the impact of crop type, management and soil quality indicators on background nitrous oxide emissions in Chinese croplands?",3,1,2,2,2,1,1,1,1,2,2,1,2,2,2,3,"Evidence Review"
127455,"Responses of soil fauna communities to the individual and combined effects of multiple global change factors","Peng, Y; Penuelas, J; Vesterdal, L; Yue, K; Peguero, G; Fornara, DA; Hedenec, P; Steffens, C; Wu, FZ",2022,"Soil fauna plays a key role in regulating biogeochemical cycles, but how multiple global change factors (GCFs) may affect faunal communities remains poorly studied. We conducted a meta-analysis using 1154 observations to evaluate the individual and combined effects of elevated CO2, nitrogen (N) addition, warming, increased rainfall and drought on soil fauna density and diversity. Here we show that, overall, individual and combined effects of GCFs had negligible effects on soil fauna density and diversity, except that density was negatively affected by drought (-27.4%) and positively affected by increased rainfall individually (+24.9%) and in combination with N addition (+67.3%) or warming (+70.4%). GCF effects varied among taxonomic groups both in magnitude and direction. Variables such as latitude, elevation and experimental setting significantly impacted both individual and combined effects. Our results suggest that soil fauna density is affected by changed rainfall regimes, while diversity is resistant against individual and combined effects of multiple GCFs.","ECOLOGY LETTERS","<a href='https://dx.doi.org/10.1111/ele.14068' target='_blank'>10.1111/ele.14068</a>",,"What are the impacts of global change factors (elevated CO2, N addition, warming, drought and increased rainfall) on soil fauna density and diversity at continental scales?",3,1,3,2,2,1,1,1,1,3,2,1,3,2,2,2,"Evidence Review"
127458,"Effects of Water and Fertilizer Management Practices on Methane Emissions from Paddy Soils: Synthesis and Perspective","Gu, XY; Weng, SM; Li, YE; Zhou, XQ",2022,"Water and fertilizer management practices are considered to have great influence on soil methane (CH4) emissions from paddy fields. However, few studies have conducted a quantitative analysis of the effects of these management practices. Here, we selected 156 observations of water management from 34 articles and 288 observations of fertilizer management from 37 articles and conducted a global meta-analysis of the effects of water and fertilizer management practices on soil CH4 emissions in paddy fields. In general, compared with traditional irrigation (long-term flooding irrigation), water-saving irrigation significantly decreased soil CH4 emissions but increased rice yield. Among the different practices, intermittent irrigation had the fewest reductions in CH4 emissions but the greatest increase in rice yield. In addition, fertilization management practices such as manure, mixed fertilizer (mixture), and straw significantly enhanced CH4 emissions. Rice yields were increased under fertilization with a mixture, traditional fertilizer, and controlled release fertilizer. Our results highlight that suitable agricultural water and fertilizer management practices are needed to effectively reduce CH4 emissions while maintaining rice yields. We also put forward some prospects for mitigating soil CH4 emissions from paddy fields in the context of global warming in the future.","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH","<a href='https://dx.doi.org/10.3390/ijerph19127324' target='_blank'>10.3390/ijerph19127324</a>",,"What is the effect of water or fertilizer management practices, compared to no fertilizer or traditional irrigation, on methane emissions from Rice Paddy Fields?",3,1,2,2,2,1,1,1,1,2,1,1,3,2,2,1,"Evidence Review"
127459,"Distinct response of high-latitude ecosystem and high-altitude alpine ecosystem to temperature and precipitation dynamics: A meta-analysis of experimental manipulation studies","Bhattarai, P; Timilsina, B; Parajuli, R; Chen, Y; Gao, J; Zhang, YJ",2022,"Cold biome ecosystems, extensively distributed on our planet, are highly sensitive to global changes. Fluctuations caused by climate change would inevitably affect the ecosystems' structure and functions. However, the linkage between cold biome ecosystems and global changes demonstrates high spatial heterogeneity, especially between high-latitude ecosystems (HL) and high-altitude alpine ecosystems (HA). A comparative analysis of their response patterns would provide deeper insight into the underlying mechanisms at play. We used meta-analysis to synthesize ecosystems' response to warming and altered precipitation performed in HL and HA. Warming and enhanced precipitation increases ecosystem biomass and carbon fluxes in HL and HA. Warming significantly stimulates aboveground biomass (AGB), root biomass (RB), total biomass (TB), aboveground net primary productivity, gross ecosystem productivity (GEP), soil respiration (SR), and net ecosystem productivity (NEP) in HL and HA. Similarly, AGB, GEP, and NEP increase significantly with enhanced precipitation. Respondent of ecosystem carbon storage and fluxes in HL and HA showed diverse results to warming treatment. Warming increases AGB and RB in HA while RB remains unaltered in HL. GEP and ER exhibit a positive response to warming in HL but an insignificant response in HA. In general, HL is sensitive to warming, and HA is sensitive to precipitation. The differential responses of HL and HA to climate change imply specific ecosystem traits and particular environmental constraining factors. Future cold biome ecosystem studies should further consider specific conditions like microtopography, soil moisture, and local climate unique to high-latitude and high-altitude ecosystems.","PROGRESS IN PHYSICAL GEOGRAPHY-EARTH AND ENVIRONMENT","<a href='https://dx.doi.org/10.1177/03091333221114866' target='_blank'>10.1177/03091333221114866</a>",,"What is the effect of warming or altered precipitation on change in ecosystem characteristics in high-latitude ecosystems compared to high-altitude alpine ecosystems?",3,1,2,2,2,1,1,1,1,2,2,1,3,2,2,2,"Evidence Review"
127462,"Grazing Significantly Increases N2O Emission Rates in Alpine Meadows of the Tibetan Plateau","Li, W; Xu, QM; Zhou, HK; Du, YG",2022,"Alpine meadows are robust nitrous oxide (N2O) sources that continually experience overgrazing on the Tibetan Plateau. However, the mechanisms underlying N2O fluxes are poorly understood. The effects of grazing activity on grassland N2O emission rates, soil and plant characteristics were investigated using a meta-analysis approach. This study revealed that the effect size of grazing was 0.31 +/- 0.08 on N2O emission rates (p < 0.0001), and N2O fluxes increased by 36.27% than control. Light, moderate, and high grazing increased N2O emission rates by 34.62, 19.48, and 62.16%, respectively. The effect size of moderate grazing was significantly lower than that of high grazing (p < 0.05). The effect size of grazing on pH was significant (p < 0.05), and pH increased by 6.51% compared with control. Both soil ammonia and nitrate levels increased by 12.24 and 8.60%, respectively. However, grazing decreased soil total carbon, total phosphorus, and available phosphorus by 14.4, 10.25, and 10.15%, respectively. Grazing significantly decreased plant diversity (p < 0.05), richness, and aboveground biomass by 15.16, 23.7, and 30.7% (p < 0.01), respectively (p < 0.01). Aboveground biomass significantly influenced effect size on N2O emissions, explaining 13.36% of the variations. The direct coefficient of aboveground biomass on effect sizes was -0.631 based on the structural equation model. Although grazing significantly decreased aboveground biomass and diversity, moderate grazing is optimal for mitigating N2O emissions on the Tibetan Plateau.","FRONTIERS IN ENVIRONMENTAL SCIENCE","<a href='https://dx.doi.org/10.3389/fenvs.2022.920154' target='_blank'>10.3389/fenvs.2022.920154</a>","Tibetan plateau; alpine meadow; effect size; structural equation model; grazing; NITROUS-OXIDE EMISSIONS; GREENHOUSE-GAS FLUXES; GRASSLAND; ECOSYSTEM; CH4; CO2","What are the impacts of grazing activity on nitrous oxide emission rates and soil and plant characteristics?",3,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,"Evidence Review"
